# Mean_Fitness,Std_Dev,Top_1_Fitness
1.068774830121044062e+02,5.776205378650716682e+01,1.791412101456393202e+01
1.052387117801629302e+02,6.475520668071970931e+01,1.731076587560306734e+01
1.053795826536089209e+02,6.083348174606707914e+01,1.731076587560306734e+01
1.148574702770077209e+02,6.451231240208852569e+01,1.731076587560306734e+01
9.643102158592330397e+01,6.519446125147561588e+01,1.731076587560306734e+01
8.506241168754456794e+01,6.168982816525643642e+01,1.731076587560306734e+01
8.829360652814503396e+01,6.695533720102277186e+01,1.731076587560306734e+01
1.026846562102874003e+02,6.949491979354709770e+01,1.731076587560306734e+01
1.128634865226949415e+02,6.407027797812838799e+01,1.731076587560306734e+01
9.873073361667263725e+01,6.810545473898417868e+01,1.711529640123278284e+01
7.766003228488388288e+01,6.150504731257831281e+01,1.682896240444102887e+01
1.164938008609680082e+02,5.872643402894687625e+01,1.682896240444102887e+01
1.284722112493893746e+02,6.017095503601913720e+01,1.682896240444102887e+01
1.451430013036503510e+02,4.589862908787634410e+01,1.682896240444102887e+01
1.382361624880223303e+02,4.845805440904963035e+01,1.682896240444102887e+01
1.381241857524940428e+02,4.944716282624855097e+01,1.682896240444102887e+01
1.434207264201089345e+02,5.666654337142267650e+01,1.682896240444102887e+01
1.342574091760356509e+02,5.759806605554292247e+01,1.682896240444102887e+01
1.161370960256428617e+02,5.851361269317876435e+01,1.682896240444102887e+01
1.152843193081001800e+02,6.760185373338777026e+01,1.681779230608560738e+01
8.806430141477115114e+01,6.589326578325277239e+01,1.669746137619304704e+01
8.604566112863571448e+01,6.706003672022367823e+01,1.669746137619304704e+01
8.744277453534834876e+01,6.773868150494111262e+01,1.669746137619304704e+01
9.130630683209494691e+01,6.814527683840469763e+01,1.669746137619304704e+01
1.018569755414791302e+02,5.508063179417602129e+01,1.669746137619304704e+01
9.993115938954269950e+01,5.942211769712572789e+01,1.664826343023189281e+01
1.135572706612361742e+02,6.333476044445418296e+01,1.641505123185619652e+01
8.656899809167848048e+01,6.443313953828659635e+01,1.641505123185619652e+01
1.025090400014336467e+02,6.560064023142963663e+01,1.641505123185619652e+01
1.003809271550350246e+02,6.226986871296737291e+01,1.641505123185619652e+01
1.014774473685656631e+02,5.727585516020968015e+01,1.641505123185619652e+01
1.130636480643670438e+02,6.058934619921176079e+01,1.641505123185619652e+01
9.770990847970193727e+01,6.326427805256609105e+01,1.629192317008684654e+01
